n,m,density,greedy,greedy_std,fv,er,sw025,sw050,sw075,win,tie
36,122,0.1937,3.077398,0.175817,3.8494993878,3.8478006103,1.7426172126,2.046740841,2.9701793734,0,0
36,123,0.1952,2.988949,0.683009,3.9088909774,3.8605705941,1.7706825048,2.6038404512,2.8627447202,0,0
36,124,0.1968,3.183335,0.092117,3.9769707469,3.8607546997,2.088947672,2.4853378235,3.1394839151,0,0
36,125,0.1984,3.184174,0.149342,3.9979252717,3.9043597483,1.9890514075,2.3610158916,2.6190930302,0,0
36,126,0.2000,3.286766,0.053648,4.0242317006,3.9257411207,2.1356978154,2.5721879326,2.9493354651,0,0
36,127,0.2016,3.302464,0.295464,4.0647273791,4.0680627541,1.9983686664,2.8232154391,2.8759013904,0,0
36,128,0.2032,3.243735,0.057992,4.0759362075,4.1452763408,2.1542900448,2.6113029006,2.8619977744,0,0
36,129,0.2048,3.252420,0.280619,4.1225738555,4.1702087501,2.1203565117,2.7207865769,3.3814878706,0,0
36,130,0.2063,3.415205,0.190879,4.1993491753,4.1979381083,2.2951967109,2.7631560448,2.7109473999,0,0
36,131,0.2079,3.487658,0.172060,4.22645028,4.266988937,1.9898472849,2.6609851922,2.9140478795,0,0
36,132,0.2095,3.514970,0.176173,4.3081660568,4.3984735323,2.1261807744,2.7729997902,3.1282430337,0,0
36,133,0.2111,3.429735,0.270731,4.3454675744,4.4134683057,2.3522417807,2.5608316312,3.3575191242,0,0
36,134,0.2127,3.728527,0.205136,4.42378518,4.4143879315,2.2538153076,2.7779251548,3.0723897714,0,0
36,135,0.2143,3.593387,0.123136,4.4790006283,4.4565967348,2.0807080013,2.6706168547,3.4693411724,0,0
36,136,0.2159,3.746422,0.034290,4.5092155855,4.4663804555,2.3062980361,3.102240348,3.3510362835,0,0
36,137,0.2175,3.533637,0.297176,4.6179430402,4.4822484273,2.5201247558,2.9095018239,3.3720689831,0,0
36,138,0.2190,3.793175,0.181268,4.6764466047,4.4828802108,2.4886456816,2.6615156755,3.2547344478,0,0
36,139,0.2206,3.839042,0.281023,4.7346224887,4.5115543141,2.4970582936,2.5514244851,3.1934073545,0,0
36,140,0.2222,3.903369,0.194518,4.7854853494,4.5725565407,2.6440499579,2.9630239076,3.3256646046,0,0
36,141,0.2238,3.895201,0.139723,4.8173620425,4.7459985896,2.2990043906,3.0576733718,3.7140651084,0,0
36,142,0.2254,4.012050,0.090398,4.8831763532,4.8703522593,2.5383691591,3.3846921239,3.3567578738,0,0
36,143,0.2270,3.994036,0.224504,4.9062076923,4.9473449802,2.49406568,3.0161413919,3.3191594397,0,0
36,144,0.2286,3.985210,0.115342,4.9503327236,4.9865709885,2.1666066454,3.4283369928,3.4661583748,0,0
36,145,0.2302,4.115110,0.171781,4.9733989926,5.0561643814,2.1876028377,3.2984317333,3.9246737361,0,0
36,146,0.2317,4.296074,0.078254,5.0525911222,5.0825909666,2.115695435,2.8853707971,4.1061951216,0,0
36,147,0.2333,4.046908,0.249746,5.0966956496,5.1833877367,2.2337007557,3.5253263161,3.9488563438,0,0
36,148,0.2349,4.178315,0.080197,5.1778039727,5.2846058614,2.3054250578,3.4447947828,3.9596943829,0,0
36,149,0.2365,4.146977,0.281711,5.2443660569,5.3303586869,2.4616541605,3.4476245014,3.7571138712,0,0
36,150,0.2381,4.160871,0.222927,5.2800637842,5.3315303217,2.4675603027,3.0553545744,3.637409364,0,0
36,151,0.2397,4.150448,0.246116,5.3083199461,5.4113765515,2.6639124053,3.2519483018,4.0322652723,0,0
36,152,0.2413,4.368850,0.171337,5.4096903578,5.466005829,2.4698967421,3.0514020985,4.1830119555,0,0
36,153,0.2429,4.475323,0.198509,5.453262457,5.4923712439,2.574736748,3.3218073517,3.9746727813,0,0
36,154,0.2444,4.459379,0.175181,5.4852760722,5.697164273,2.5511289882,3.2666022682,3.3649239487,0,0
36,155,0.2460,4.546867,0.118433,5.5060776276,5.7046486951,2.6600924198,3.8311140795,4.2292949837,0,0
36,156,0.2476,4.641016,0.094989,5.5815346767,5.7913829976,2.8415828343,3.6955072604,4.60239621,0,0
36,157,0.2492,4.678815,0.155809,5.6345812361,5.7984948259,2.9722896734,3.5496552984,4.0770213161,0,0
36,158,0.2508,4.697948,0.184133,5.7092449313,5.826671852,2.7817489166,3.7342439535,4.3747166418,0,0
36,159,0.2524,4.609864,0.400278,5.7351834672,5.9461344338,2.9733244481,3.5606146189,4.2206899586,0,0
36,160,0.2540,4.782211,0.230489,5.7784909136,5.9489426599,2.8828492263,3.8656429071,4.4196371692,0,0
36,161,0.2556,4.750538,0.370490,5.85738407,5.9768866183,3.038868886,3.8205737955,4.5515168314,0,0
36,162,0.2571,4.830513,0.203051,5.8911841845,6.0179883677,3.0623070795,3.985196893,4.9606271189,0,0
36,163,0.2587,4.543790,0.114801,5.954928167,6.0180292935,3.069369485,3.9662871688,4.9103501381,0,0
36,164,0.2603,4.747102,0.272574,6.0032020953,6.1220321371,3.1892911232,3.9675319958,4.0415136321,0,0
36,165,0.2619,4.834526,0.239969,6.0455360829,6.1539046666,2.7920368732,3.9050176571,4.4182197254,0,0
36,166,0.2635,4.960765,0.121265,6.0973749027,6.2465267875,3.0203839637,4.415900831,4.4875784681,0,0
36,167,0.2651,5.024253,0.147935,6.1852166193,6.2683285844,3.2109540586,4.3943728157,4.9188887684,0,0
36,168,0.2667,4.975190,0.098367,6.1982134734,6.3188710342,3.1076175823,4.0007844029,4.9782383481,0,0
36,169,0.2683,5.009131,0.241095,6.2477054942,6.4121114541,3.4153336554,4.1634671342,4.4104413952,0,0
36,170,0.2698,5.179722,0.176967,6.2793763867,6.4190372995,3.4859731687,4.0846287386,4.6107299026,0,0
36,171,0.2714,5.322045,0.275745,6.329489217,6.5363286671,3.5094083471,3.8985746618,4.2521365016,0,0
36,172,0.2730,5.101838,0.439312,6.4073147944,6.5645471606,3.6638057103,4.5048455407,4.9340117139,0,0
36,173,0.2746,5.387456,0.045170,6.4556875991,6.6449555994,3.4194069401,4.601304648,5.3106942064,0,0
36,174,0.2762,5.598141,0.181520,6.492333187,6.6539060071,3.5539871866,4.580664897,4.7230002111,0,0
36,175,0.2778,5.342244,0.156748,6.5514320328,6.7056897124,3.6425543329,4.4688897558,4.7585883756,0,0
